First Name,Last Name,Age,FA Year,Contract Length,Contract Total (mill),Contract Per Year,Inflation
Wesley,Matthews,28,2015,4,70,17.515007,23.5733607
O.J.,Mayo,25,2013,3,24,8,11.54401154
O.J.,Mayo,24,2012,2,8.2209,4.11045,6.153368263
Patrick,McCaw,22,2018,2,6,3,3.667481663
K.J.,McDaniels,22,2015,2,6.523126,3.261563,4.3897214
Tracy,McGrady,32,2011,1,1.352181,1.352181,2.10292535
Jodie,Meeks,27,2014,3,18.81,6.27,8.732590529
Khris,Middleton,24,2015,5,70,14,18.84253028
C.J.,Miles,27,2014,4,17.95535,4.488838,6.25186351
Mike,Miller,34,2014,2,5.58694,2.79347,3.890626741
E'Twaun,Moore,30,2016,4,34,8.5,11.06770833
Anthony,Morrow,29,2014,3,10.032,3.344,4.657381616
Chandler,Parsons,25,2014,3,46.0845,15.3615,21.3948468
Tayshaun,Prince,31,2011,4,28,7,10.88646967
JJ,Reddick,34,2018,1,12.25,12.25,14.97555012
JJ,Reddick,33,2017,1,23,23,29.0037831
J.J.,Redick,29,2013,4,27.755,6.93875,10.01262626
Jason,Richardson,30,2011,4,24,6,9.33125972
Austin,Rivers,27,2016,3,35.5,11.8,15.36458333
Austin,Rivers,26,2015,2,6.454902,3.227451,4.343810229
Andre,Roberson,24,2017,3,30,10,12.61034048
Glen,Robinson III,21,2015,3,3.241,1.080333,1.454014805
Brandon,Roy,28,2012,2,10.4,5.2,7.784431138
Brandon,Rush,31,2016,1,3.5,3.5,4.557291667
Brandon,Rush,29,2014,2,2.416649,1.208325,1.6829039
Brandon,Rush,27,2012,2,8,4,5.988023952
Thabo,Sefolosha,33,2017,2,10.5,5.25,6.620428752
Thabo,Sefolosha,30,2014,3,12,4,5.571030641
Iman,Shumpert,25,2015,4,40,10,13.4589502
Kyle,Singler,27,2015,4,19,4.75,6.393001346
Marcus,Smart,24,2018,4,52,13,15.89242054
JR,Smith,26,2016,4,57,14.25,18.5546875
Tony,Snell,25,2017,4,46,11.5,14.50189155
Lance,Stephenson,23,2014,2,18,9,12.53481894
DeShawn,Stevenson,31,2012,3,6.72135,2.24045,3.353967066
